"행정구역(시군구)별(1)",행정구역(시군구)별(2),2021,2021,2021,2021,2021,2021,2021,2021
"행정구역(시군구)별(1)",행정구역(시군구)별(2),급여총계,급여총계,과세대상근로소득(총급여),과세대상근로소득(총급여),과세표준,과세표준,결정세액,결정세액
"행정구역(시군구)별(1)",행정구역(시군구)별(2),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원)
"세종",소계,160941,7106541,160935,7077729,146689,3772616,114003,327806
"광주",소계,442298,15632915,439739,15567807,391116,8216555,268638,768759
"광주",광산구,131184,4503747,130416,4482767,116473,2321954,79804,201639
"광주",남구,37822,1149668,37385,1143739,32506,577465,20674,49354
"광주",동구,45000,1759569,43963,1750840,39110,974454,27379,109879
"광주",북구,116546,3914336,116546,3900465,103055,2007775,69419,178275
"광주",서구,111746,4305595,111429,4289996,99972,2334907,71362,229612
"전북",소계,524836,18215506,523514,18148253,469204,9504254,319478,813597
"전북",고창군,12218,400255,12218,398842,10871,203295,7473,15726
"전북",군산시,76499,2600080,76478,2590303,68385,1358505,46644,116832
"전북",김제시,29516,984425,29516,981013,26494,508221,18243,40776
"전북",남원시,21053,663816,21053,661872,18985,332932,12335,24526
"전북",무주군,6621,216649,6621,216176,5964,107793,4022,7638
"전북",부안군,12062,384213,12062,383028,10758,190029,7168,13085
"전북",순창군,6527,226968,6527,226323,6002,114696,4086,8384
"전북",완주군,49637,2158922,49264,2151045,45660,1198392,34132,111018
"전북",익산시,82082,2717072,81258,2701963,72872,1386753,48830,112903
"전북",임실군,7889,275059,7889,274013,7142,140890,4956,10932
"전북",장수군,5534,182886,5534,182432,4970,92296,3399,6380
"전북",전주시,180477,6241768,180373,6221837,159894,3272448,107145,298210
"전북",정읍시,28171,932753,28171,929237,25220,479915,16889,38624
"전북",진안군,6550,230640,6550,230170,5987,118089,4156,8563
"전남",소계,577018,22125350,576396,22046605,523324,11955567,374355,1128972
"전남",강진군,8102,269134,8102,268536,7399,135987,5016,10059
"전남",고흥군,12368,404010,12368,402874,11136,204165,7569,15582
"전남",곡성군,7722,252747,7722,251989,6988,126593,4766,9043
"전남",광양시,49898,1961970,49884,1957458,45348,1072149,33463,97376
"전남",구례군,6310,200899,6310,200490,5713,98895,3781,6376
"전남",나주시,88219,4421144,87850,4393961,81966,2581631,66430,273321
"전남",담양군,18450,613876,18450,612598,16821,317174,11533,27512
"전남",목포시,50376,1570906,50376,1565038,44542,779956,28407,64864
"전남",무안군,35761,1601856,35643,1595595,33121,864361,25386,75985
"전남",보성군,8988,297080,8988,296531,8129,150035,5383,11061
"전남",순천시,61949,1996067,61849,1990862,54679,1025560,35512,92581
"전남",신안군,7072,230028,7072,229302,6488,112752,4411,7770
"전남",여수시,81255,3278332,81236,3267167,73252,1856138,52815,207555
"전남",영광군,15229,624333,15229,622615,13952,350514,10021,37629
"전남",영암군,32027,1176356,32027,1174171,28924,620759,20759,50588
"전남",완도군,9938,306439,9936,305332,8969,152665,5928,10548
"전남",장성군,18243,618394,18243,616668,16620,319629,11685,26829
"전남",장흥군,12563,503520,12563,502274,11760,254479,8692,19181
"전남",진도군,5662,192458,5662,192019,5200,96675,3645,6534
"전남",함평군,9356,313044,9356,312037,8439,159517,5710,12740
"전남",해남군,16066,524970,16066,523644,14461,265718,9879,21669
"전남",화순군,21464,767787,21464,765443,19417,410215,13564,44170
"대구",소계,689197,23812969,687610,23712329,609377,12398435,413461,1151613
"대구",남구,38519,1185673,38519,1181595,33834,595374,22074,49582
"대구",달서구,162318,5813340,161673,5786620,144515,3027996,100576,276318
"대구",달성군,84848,3147742,84847,3132727,76616,1660405,54914,147982
"대구",동구,85305,2780800,85299,2771133,73841,1459159,47436,140985
"대구",북구,109117,3550181,108184,3531166,95573,1802774,63170,160321
"대구",서구,51612,1645383,51610,1637898,46589,819036,30877,64617
"대구",수성구,99415,3583473,99415,3573144,86994,1917428,59080,199709
"대구",중구,58063,2106378,58063,2098046,51415,1116262,35334,112098
"경북",소계,828032,31301913,821804,31135239,743375,16903489,534473,1625080
"경북",경산시,94627,3203175,90575,3172424,80182,1669812,55490,154679
"경북",경주시,96628,3885621,96624,3846035,87824,2137043,64800,212822
"경북",고령군,15526,546811,15526,544958,14264,287445,10257,25178
"경북",구미시,136516,5318769,136286,5294324,123734,2905976,89086,288808
"경북",군위군,7172,248121,7172,247510,6538,129147,4671,10114
"경북",김천시,49075,2037021,48797,2027044,44479,1137428,32717,114199
"경북",문경시,16999,528350,16963,526316,15270,263776,10172,19595
"경북",봉화군,6983,242757,6983,241436,6392,123916,4728,9258
"경북",상주시,21151,686225,21151,684558,19045,347703,12764,26801
"경북",성주군,18161,617718,18161,615290,16638,319142,11807,25766
"경북",안동시,54489,2258897,54394,2254649,49931,1200049,37994,105764
"경북",영덕군,7286,241065,7286,240377,6675,122771,4565,9369
"경북",영양군,3287,114744,3287,114537,3044,58382,2198,4221
"경북",영주시,24255,823681,23322,819643,21005,437568,14521,42986
"경북",영천시,36971,1313615,36971,1309620,33506,691519,23936,60344
"경북",예천군,9895,326916,9895,326167,8854,166088,6190,12424
"경북",울릉군,2239,76527,2238,75920,2071,38945,1456,2609
"경북",울진군,12633,559120,12633,557326,11581,326192,8975,35994
"경북",의성군,10907,349714,10907,348610,9782,176372,6614,12816
"경북",청도군,10825,349834,10825,348778,9721,176585,6595,13629
"경북",청송군,5521,181828,5521,181400,4914,93219,3449,7018
"경북",칠곡군,47036,1525739,46951,1517397,42465,766860,28884,60634
"경북",포항시,139850,5865665,139336,5840917,125460,3327550,92604,370050
"부산",소계,1052531,37324322,1045027,36887171,923129,19750880,628846,2010137
"부산",강서구,118955,4558506,118955,4542031,109237,2413979,78446,214665
"부산",금정구,64015,2045832,62601,2028914,54793,1053263,35661,98789
"부산",기장군,59058,2092789,59058,2082316,52197,1107387,35857,106026
"부산",남구,69585,2909201,68554,2892868,60960,1677055,42794,201124
"부산",동구,42629,1485745,42063,1430080,36373,765960,24111,81851
"부산",동래구,56775,1796594,56721,1789671,48590,961251,31451,115545
"부산",부산진구,104069,3607967,102403,3589227,89066,1964763,59826,231327
"부산",북구,41554,1249017,41496,1245039,35962,622935,23248,55691
"부산",사상구,88398,2867913,87795,2852319,77879,1471132,52149,135043
"부산",사하구,80128,2722441,79965,2704954,70570,1430646,47415,143500
"부산",서구,32009,1244505,32004,1232101,28819,669722,20955,66853
"부산",수영구,35057,1095818,35056,1092065,30265,569625,19085,60458
"부산",연제구,77518,3127548,77500,3120910,70021,1639171,51900,145362
"부산",영도구,33631,1211317,33173,1194130,29352,639278,20333,59136
"부산",중구,47533,1939685,46592,1752956,40899,988650,28900,108746
"부산",해운대구,101617,3369442,101091,3337591,88146,1776065,56715,186023
"울산",소계,401784,18159625,400875,18086013,364723,10501523,276468,1175886
